"name","genes"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SCAP"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SCARB1"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SCD"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SEC13"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SEC23A"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SEC23B"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SEC24A"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SEC24B"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SEC24C"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SEC24D"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SEC31A"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SEC31B"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SIRT1"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SP1"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SQLE"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SREBF1"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","SREBF2"
"C2.WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING","YY1"
"C2.REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS","ANGPTL3"
"C2.REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS","FASN"
"C2.REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS","NR1H2"
"C2.REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS","NR1H3"
"C2.REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS","NRIP1"
"C2.REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS","RXRA"
"C2.REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS","RXRB"
"C2.REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS","SCD"
"C2.REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS","SREBF1"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","AGPAT4"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","CDIPT"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","CDS1"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","CHKB"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","CHPT1"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","CRLS1"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","DGAT1"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","DGAT2"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","DGKZ"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","ETNK1"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","GPAM"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","GPAT4"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","MIR6848"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","MIR7109"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","PCYT1A"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","PCYT2"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","PEMT"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","PISD"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","PLA2G1B"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","PLD1"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","PNPLA2"
"C2.WP_GLYCEROLIPIDS_AND_GLYCEROPHOSPHOLIPIDS","PNPLA3"
